MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Date,Time,delta_time,delta_COG,delta_SOG,delta_Heading,prev_LAT,prev_LON,distance_traveled,rolling_mean_SOG,rolling_std_SOG,COG_threshold,SOG_threshold,Heading_threshold,distance_threshold,anomaly,anomaly_reason
220634000,2021-11-06 03:49:31,28.02682,-94.41456,11.4,359.6,359.0,TORM LILLY,IMO9392470,OUPJ2,80.0,0.0,183.0,32.0,13.5,80.0,A,2021-11-06,03:49:31,7569.0,359.5,0.09999999999999964,358.0,27.63069,-94.41498,44047.6656540457,11.5,0.31622776601683766,351.06649131580286,12.555506864918188,330.4810562028426,32200.507595651194,True,"Sharp Turn, Unusual Distance Traveled"
249889000,2021-11-10 14:28:29,26.31005,-94.77694,0.9,308.9,255.0,KAREKARE,IMO9787986,9HA4418,80.0,8.0,274.0,48.0,9.3,80.0,A,2021-11-10,14:28:29,59511.0,0.8999999999999773,-12.799999999999999,-52.0,26.25272,-94.44859,33351.63435977111,3.46,0.0,520.9251504371716,7.479705819348323,370.7829897662318,33299.74154727461,True,"Speed Change, Unusual Distance Traveled"
